Constant Name,Symbol,Value,Unit,Definition,Usage,Likely MCQ
Speed of Light in Vacuum,$c$,$3.00 \times 10^8$,$m/s$,"The speed at which light travels in a vacuum; a universal constant.","Used in Einstein's theory of relativity ($E=mc^2$) and in electromagnetic wave propagation (e.g., optics and modern physics).","Q: What is the speed of light in vacuum? A) $3.00 \times 10^6$ $m/s$ B) $3.00 \times 10^7$ $m/s$ C) $3.00 \times 10^8$ $m/s$ D) $3.00 \times 10^9$ $m/s$ (Ans: C)"
Gravitational Constant,$G$,$6.67 \times 10^{-11}$,$N m^2/kg^2$,"The constant of proportionality in Newton’s law of gravitation.","Used to calculate gravitational force between two masses ($F = \frac{GMm}{r^2}$), such as in planetary motion and orbits.","Q: The gravitational constant $G$ has the unit: A) $N kg^2/m^2$ B) $N m^2/kg^2$ C) $m/s^2$ D) $kg m/s^2$ (Ans: B)"
Planck’s Constant,$h$,$6.63 \times 10^{-34}$,$J s$,"Relates the energy of a photon to its frequency ($E = h\nu$).","Used in quantum mechanics, photoelectric effect, and blackbody radiation.","Q: The energy of a photon with frequency $5 \times 10^{14}$ Hz is ($h = 6.63 \times 10^{-34}$ $J s$): A) $3.315 \times 10^{-19}$ $J$ B) $1.326 \times 10^{-19}$ $J$ C) $6.63 \times 10^{-19}$ $J$ D) $2.652 \times 10^{-19}$ $J$ (Ans: A)"
Boltzmann Constant,$k$,$1.38 \times 10^{-23}$,$J/K$,"Relates the average kinetic energy of particles in a gas with temperature ($KE = \frac{3}{2}kT$).","Used in kinetic theory of gases and thermodynamics (e.g., ideal gas law in terms of $k$: $PV = NkT$).","Q: The Boltzmann constant $k$ has the dimensions: A) $[M L^2 T^{-2} K^{-1}]$ B) $[M L^2 T^{-2}]$ C) $[M L^2 T^{-1} K^{-1}]$ D) $[M L T^{-2} K^{-1}]$ (Ans: A)"
Avogadro’s Number,$N_A$,$6.022 \times 10^{23}$,$mol^{-1}$,"The number of particles (atoms, molecules) in one mole of a substance.","Used in stoichiometry, gas laws (e.g., $PV = nRT$ where $n = N/N_A$), and to calculate the number of particles in a sample.","Q: How many molecules are there in 2 moles of a gas? ($N_A = 6.022 \times 10^{23}$ $mol^{-1}$) A) $1.2044 \times 10^{24}$ B) $6.022 \times 10^{23}$ C) $3.011 \times 10^{23}$ D) $1.2044 \times 10^{23}$ (Ans: A)"
Universal Gas Constant,$R$,$8.31$,$J/(mol K)$,"Relates the energy of a gas to its temperature and amount ($PV = nRT$).","Used in the ideal gas law and thermodynamics (e.g., work done by a gas).","Q: The value of the universal gas constant $R$ is: A) $8.31$ $J/(mol K)$ B) $1.38 \times 10^{-23}$ $J/K$ C) $6.67 \times 10^{-11}$ $N m^2/kg^2$ D) $9.8$ $m/s^2$ (Ans: A)"
Elementary Charge,$e$,$1.60 \times 10^{-19}$,$C$,"The charge of a single electron or proton.","Used in electrostatics (e.g., Coulomb’s law, $F = k \frac{q_1 q_2}{r^2}$) and current electricity ($I = neAv_d$).","Q: The charge of an electron is: A) $1.60 \times 10^{-19}$ $C$ B) $1.60 \times 10^{-18}$ $C$ C) $9.11 \times 10^{-31}$ $C$ D) $3.20 \times 10^{-19}$ $C$ (Ans: A)"
Permittivity of Free Space,$\varepsilon_0$,$8.85 \times 10^{-12}$,$F/m$,"Relates electric field to charge in a vacuum ($E = \frac{q}{4\pi\varepsilon_0 r^2}$).","Used in Coulomb’s law ($F = \frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r^2}$) and capacitance ($C = \varepsilon_0 A/d$).","Q: The unit of permittivity of free space $\varepsilon_0$ is: A) $F/m$ B) $C^2/(N m^2)$ C) $N m^2/C^2$ D) Both A and B (Ans: D)"
Permeability of Free Space,$\mu_0$,$4\pi \times 10^{-7}$,$T m/A$,"Relates magnetic field to current in a vacuum ($B = \frac{\mu_0 I}{2\pi r}$).","Used in magnetism (e.g., Biot-Savart law, Ampere’s law) and electromagnetic waves ($c = \frac{1}{\sqrt{\mu_0 \varepsilon_0}}$).","Q: The permeability of free space $\mu_0$ is: A) $4\pi \times 10^{-7}$ $T m/A$ B) $8.85 \times 10^{-12}$ $F/m$ C) $1.60 \times 10^{-19}$ $T m/A$ D) $6.63 \times 10^{-34}$ $T m/A$ (Ans: A)"
Mass of Electron,$m_e$,$9.11 \times 10^{-31}$,$kg$,"The mass of an electron.","Used in modern physics (e.g., electron in a magnetic field, $F = qvB$) and photoelectric effect calculations.","Q: The mass of an electron is approximately: A) $9.11 \times 10^{-31}$ $kg$ B) $1.67 \times 10^{-27}$ $kg$ C) $1.60 \times 10^{-19}$ $kg$ D) $3.00 \times 10^8$ $kg$ (Ans: A)"
Mass of Proton,$m_p$,$1.67 \times 10^{-27}$,$kg$,"The mass of a proton.","Used in nuclear physics (e.g., mass defect in nuclear reactions) and particle physics.","Q: The mass of a proton is: A) $9.11 \times 10^{-31}$ $kg$ B) $1.67 \times 10^{-27}$ $kg$ C) $1.60 \times 10^{-19}$ $kg$ D) $6.022 \times 10^{23}$ $kg$ (Ans: B)"
Mass of Neutron,$m_n$,$1.67 \times 10^{-27}$,$kg$,"The mass of a neutron, slightly more than that of a proton.","Used in nuclear physics (e.g., mass defect in nuclear reactions) and to calculate atomic masses.","Q: The mass of a neutron is approximately: A) $9.11 \times 10^{-31}$ $kg$ B) $1.67 \times 10^{-27}$ $kg$ C) $1.60 \times 10^{-19}$ $kg$ D) $3.00 \times 10^8$ $kg$ (Ans: B)"
Stefan-Boltzmann Constant,$\sigma$,$5.67 \times 10^{-8}$,$W/(m^2 K^4)$,"Relates the power radiated by a blackbody to its temperature ($P = \sigma A T^4$).","Used in thermal physics for blackbody radiation problems.","Q: The Stefan-Boltzmann constant $\sigma$ has the value: A) $5.67 \times 10^{-8}$ $W/(m^2 K^4)$ B) $1.38 \times 10^{-23}$ $W/(m^2 K^4)$ C) $8.31$ $W/(m^2 K^4)$ D) $6.63 \times 10^{-34}$ $W/(m^2 K^4)$ (Ans: A)"
Rydberg Constant,$R_\infty$,$1.097 \times 10^7$,$m^{-1}$,"Relates the wavelengths of spectral lines of hydrogen ($\frac{1}{\lambda} = R_\infty (\frac{1}{n_1^2} - \frac{1}{n_2^2})$).","Used in atomic physics to calculate the wavelengths of emitted light in hydrogen spectrum.","Q: The Rydberg constant $R_\infty$ is approximately: A) $1.097 \times 10^7$ $m^{-1}$ B) $1.097 \times 10^6$ $m^{-1}$ C) $1.097 \times 10^8$ $m^{-1}$ D) $1.097 \times 10^5$ $m^{-1}$ (Ans: A)"
Coulomb’s Constant,$k$,$8.99 \times 10^9$,$N m^2/C^2$,"The constant in Coulomb’s law ($F = k \frac{q_1 q_2}{r^2}$), where $k = \frac{1}{4\pi\varepsilon_0}$.","Used in electrostatics to calculate the force between two charges.","Q: The value of Coulomb’s constant $k$ is: A) $8.99 \times 10^9$ $N m^2/C^2$ B) $4\pi \times 10^{-7}$ $N m^2/C^2$ C) $8.85 \times 10^{-12}$ $N m^2/C^2$ D) $1.60 \times 10^{-19}$ $N m^2/C^2$ (Ans: A)"
Wien’s Displacement Constant,$b$,$2.90 \times 10^{-3}$,$m K$,"Relates the peak wavelength of blackbody radiation to temperature ($\lambda_{max} T = b$).","Used in thermal physics to determine the peak emission wavelength of a blackbody.","Q: The Wien’s displacement constant $b$ is: A) $2.90 \times 10^{-3}$ $m K$ B) $5.67 \times 10^{-8}$ $m K$ C) $1.38 \times 10^{-23}$ $m K$ D) $6.63 \times 10^{-34}$ $m K$ (Ans: A)"
Faraday Constant,$F$,$9.65 \times 10^4$,$C/mol$,"The charge of one mole of electrons ($F = N_A e$).","Used in electrochemistry to calculate the charge passed in electrolysis ($Q = nF$).","Q: The Faraday constant $F$ is approximately: A) $9.65 \times 10^4$ $C/mol$ B) $1.60 \times 10^{-19}$ $C/mol$ C) $6.022 \times 10^{23}$ $C/mol$ D) $8.31$ $C/mol$ (Ans: A)"
Bohr Magneton,$\mu_B$,$9.27 \times 10^{-24}$,$J/T$,"The magnetic moment of an electron due to its orbital motion.","Used in atomic physics to describe the magnetic properties of electrons in atoms.","Q: The Bohr magneton $\mu_B$ has the value: A) $9.27 \times 10^{-24}$ $J/T$ B) $1.60 \times 10^{-19}$ $J/T$ C) $6.63 \times 10^{-34}$ $J/T$ D) $8.85 \times 10^{-12}$ $J/T$ (Ans: A)"
Nuclear Magneton,$\mu_N$,$5.05 \times 10^{-27}$,$J/T$,"The magnetic moment of a proton or neutron.","Used in nuclear physics to describe the magnetic properties of nuclei.","Q: The nuclear magneton $\mu_N$ is approximately: A) $5.05 \times 10^{-27}$ $J/T$ B) $9.27 \times 10^{-24}$ $J/T$ C) $1.67 \times 10^{-27}$ $J/T$ D) $9.11 \times 10^{-31}$ $J/T$ (Ans: A)"
Specific Heat Capacity of Water,$c_w$,$4.18 \times 10^3$,$J/(kg K)$,"The amount of heat required to raise the temperature of 1 $kg$ of water by 1 $K$.","Used in thermodynamics to calculate heat transfer in water ($Q = mc\Delta T$).","Q: The specific heat capacity of water is: A) $4.18 \times 10^3$ $J/(kg K)$ B) $2.09 \times 10^3$ $J/(kg K)$ C) $8.31$ $J/(kg K)$ D) $1.38 \times 10^{-23}$ $J/(kg K)$ (Ans: A)"
Latent Heat of Fusion of Ice,$L_f$,$3.34 \times 10^5$,$J/kg$,"The heat required to convert 1 $kg$ of ice to water at 0°C without changing its temperature.","Used in thermodynamics to calculate heat during phase changes ($Q = mL_f$).","Q: The latent heat of fusion of ice is: A) $3.34 \times 10^5$ $J/kg$ B) $2.26 \times 10^6$ $J/kg$ C) $4.18 \times 10^3$ $J/kg$ D) $9.65 \times 10^4$ $J/kg$ (Ans: A)"
Latent Heat of Vaporization of Water,$L_v$,$2.26 \times 10^6$,$J/kg$,"The heat required to convert 1 $kg$ of water to steam at 100°C without changing its temperature.","Used in thermodynamics to calculate heat during phase changes ($Q = mL_v$).","Q: The latent heat of vaporization of water is: A) $2.26 \times 10^6$ $J/kg$ B) $3.34 \times 10^5$ $J/kg$ C) $4.18 \times 10^3$ $J/kg$ D) $8.31$ $J/kg$ (Ans: A)"
Mechanical Equivalent of Heat,$J$,$4.18$,$J/cal$,"The amount of mechanical work required to produce 1 calorie of heat.","Used in thermodynamics to convert between mechanical work and heat energy ($W = JH$).","Q: The mechanical equivalent of heat $J$ is: A) $4.18$ $J/cal$ B) $8.31$ $J/cal$ C) $1.38 \times 10^{-23}$ $J/cal$ D) $9.65 \times 10^4$ $J/cal$ (Ans: A)"
Gas Constant in Calories,$R$,$1.99$,$cal/(mol K)$,"The universal gas constant expressed in calories ($R = \frac{8.31}{4.18}$ $J/(mol K)$).","Used in thermodynamics when working with heat in calories ($PV = nRT$).","Q: The gas constant $R$ in calories is: A) $1.99$ $cal/(mol K)$ B) $8.31$ $cal/(mol K)$ C) $4.18$ $cal/(mol K)$ D) $2.90 \times 10^{-3}$ $cal/(mol K)$ (Ans: A)"
Molar Mass of Air,$M_{air}$,$28.97 \times 10^{-3}$,$kg/mol$,"The average molar mass of dry air.","Used in gas laws to calculate the mass of air in a given volume ($m = nM_{air}$, where $n = \frac{PV}{RT}$).","Q: The molar mass of air is approximately: A) $28.97$ $g/mol$ B) $18.02$ $g/mol$ C) $32.00$ $g/mol$ D) $44.01$ $g/mol$ (Ans: A)"